2026-06-25 13:50:37.857744 - INFO - Сервер 172.24.6.11 - Создание клиента Redfish для https://172.24.6.11 (использование SSO)
2026-06-25 13:50:38.264602 - INFO - Сервер 172.24.6.11 - Клиент успешно создан
2026-06-25 13:50:38.265378 - INFO - Сервер 172.24.6.11 - Проверка валидности SSO токена в iLO...
2026-06-25 13:50:38.281659 - INFO - Сервер 172.24.6.11 - SSO токен успешно валидирован iLO
2026-06-25 13:50:38.282797 - INFO - Сервер 172.24.6.11 - Начало сбора ресурсов
2026-06-25 13:50:38.283177 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:50:38.312967 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1
2026-06-25 13:50:38.313703 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:50:38.329229 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:50:38.329763 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:50:38.344683 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:50:38.345167 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:50:38.361598 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:50:38.362317 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:38.383022 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:38.384204 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:38.400191 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:38.400898 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:50:38.450059 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:50:38.450847 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:50:38.526004 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:50:38.527210 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:50:38.540960 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:50:38.541377 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:50:38.580977 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:50:38.581428 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
