2026-06-25 13:50:58.147217 - INFO - Сервер 172.24.6.11 - Создание клиента Redfish для https://172.24.6.11 (использование SSO)
2026-06-25 13:50:58.560874 - INFO - Сервер 172.24.6.11 - Клиент успешно создан
2026-06-25 13:50:58.561290 - INFO - Сервер 172.24.6.11 - Проверка валидности SSO токена в iLO...
2026-06-25 13:50:58.584160 - INFO - Сервер 172.24.6.11 - SSO токен успешно валидирован iLO
2026-06-25 13:50:58.585057 - INFO - Сервер 172.24.6.11 - Начало сбора ресурсов
2026-06-25 13:50:58.585283 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:50:58.624390 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1
2026-06-25 13:50:58.625141 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:50:58.643840 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:50:58.644158 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:50:58.659075 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:50:58.659404 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:50:58.677498 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:50:58.677823 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:58.725706 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:58.726121 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:58.741871 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:58.742180 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:50:58.841612 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:50:58.842126 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:50:58.910572 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:50:58.911623 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:50:58.989350 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:50:58.990477 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:50:59.007446 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:50:59.007773 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:50:59.026103 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:50:59.026533 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:50:59.041159 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:50:59.041498 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:50:59.059530 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:50:59.060461 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:50:59.108836 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:50:59.109293 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:50:59.127157 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:50:59.127523 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:50:59.215271 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:50:59.215615 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:50:59.258247 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:50:59.260111 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:50:59.335300 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:50:59.335692 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:50:59.350845 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:50:59.351102 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1/NetworkProtocol
2026-06-25 13:50:59.458757 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1/NetworkProtocol
