2026-06-25 13:48:17.430777 - INFO - Сервер 172.24.6.11 - Создание клиента Redfish для https://172.24.6.11 (использование SSO)
2026-06-25 13:48:17.891651 - INFO - Сервер 172.24.6.11 - Клиент успешно создан
2026-06-25 13:48:17.892191 - INFO - Сервер 172.24.6.11 - Проверка валидности SSO токена в iLO...
2026-06-25 13:48:17.906713 - INFO - Сервер 172.24.6.11 - SSO токен успешно валидирован iLO
2026-06-25 13:48:17.907749 - INFO - Сервер 172.24.6.11 - Начало сбора ресурсов
2026-06-25 13:48:17.908131 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:48:17.938693 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1
2026-06-25 13:48:17.939334 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:48:17.959456 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:48:17.960226 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:48:17.976599 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:48:17.977562 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:48:17.993312 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:48:17.993814 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:48:18.043079 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:48:18.043815 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:48:18.057600 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:48:18.058096 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:48:18.159945 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:48:18.160640 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:48:18.227649 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:48:18.228491 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:48:18.304393 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:48:18.304890 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:48:18.314795 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:48:18.315209 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:48:18.330919 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:48:18.331470 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:48:18.352253 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:48:18.352785 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:48:18.369184 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:48:18.369761 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:48:18.385863 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:48:18.386408 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:48:18.426668 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:48:18.427135 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:48:18.461371 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:48:18.461932 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:48:18.559037 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1/Thermal
