2026-06-25 13:46:48.372049 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:46:48.723493 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:46:48.724207 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:46:48.742312 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:46:48.744111 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:46:48.744701 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:46:48.781690 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:46:48.785709 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:46:48.796884 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:46:48.797405 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:46:48.808555 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:46:48.809047 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:46:48.818991 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:46:48.819490 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:48.834000 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:48.834767 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:48.846560 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:48.846998 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:46:48.886877 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:46:48.888490 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:46:48.941297 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:46:48.942361 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:48.953014 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:48.953591 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:46:48.964888 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:46:48.965490 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:46:48.976713 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:46:48.977205 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:46:48.987481 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:46:48.987972 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:46:48.998913 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices
