2026-06-25 13:46:32.808204 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:46:33.127127 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:46:33.127857 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:46:33.146850 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:46:33.149018 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:46:33.149632 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:46:33.192747 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:46:33.196699 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:46:33.213864 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:46:33.215318 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:46:33.231601 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:46:33.232721 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:46:33.294578 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:46:33.295706 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:33.319969 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:33.321963 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:33.342869 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:33.344989 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:46:33.393285 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:46:33.394916 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:46:33.463208 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:46:33.464436 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:33.488409 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:33.489588 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:46:33.510018 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:46:33.511088 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:46:33.538774 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:46:33.539751 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:46:33.587117 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:46:33.587900 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:46:33.636311 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:46:33.636886 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:46:33.670716 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:46:33.672056 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:46:33.710856 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:46:33.712219 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:46:33.863382 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:46:33.864115 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:46:33.969640 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:46:33.972053 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis/Drives
2026-06-25 13:46:34.025139 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis/Drives
2026-06-25 13:46:34.026491 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:46:34.145058 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/EthernetInterfaces
2026-06-25 13:46:34.145534 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:46:34.158282 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/HostInterfaces
2026-06-25 13:46:34.158682 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/NetworkProtocol
2026-06-25 13:46:34.543600 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/NetworkProtocol
2026-06-25 13:46:34.545271 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/EmbeddedMedia
2026-06-25 13:46:34.575100 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/EmbeddedMedia
2026-06-25 13:46:34.575716 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/ActiveHealthSystem
2026-06-25 13:46:34.600375 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/ActiveHealthSystem
2026-06-25 13:46:34.601809 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1/SerialInterfaces
2026-06-25 13:46:34.623739 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1/SerialInterfaces
2026-06-25 13:46:34.624783 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/BootOptions
2026-06-25 13:46:34.650420 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BootOptions
2026-06-25 13:46:34.651139 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/EthernetInterfaces
2026-06-25 13:46:34.667233 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/EthernetInterfaces
2026-06-25 13:46:34.668600 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/LogServices
2026-06-25 13:46:34.683687 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/LogServices
2026-06-25 13:46:34.685174 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Memory
2026-06-25 13:46:34.707691 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Memory
2026-06-25 13:46:34.709564 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/MemoryDomains
2026-06-25 13:46:34.732025 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/MemoryDomains
2026-06-25 13:46:34.733240 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/NetworkInterfaces
2026-06-25 13:46:34.764358 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/NetworkInterfaces
2026-06-25 13:46:34.764981 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/PCISlots
2026-06-25 13:46:34.785509 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/PCISlots
2026-06-25 13:46:34.786515 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/BaseNetworkAdapters
2026-06-25 13:46:34.798078 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/BaseNetworkAdapters
2026-06-25 13:46:34.798842 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/SmartStorage
2026-06-25 13:46:34.810715 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/SmartStorage
2026-06-25 13:46:34.811241 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/USBPorts
2026-06-25 13:46:34.823543 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/USBPorts
2026-06-25 13:46:34.824079 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/USBDevices
2026-06-25 13:46:34.836972 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/USBDevices
2026-06-25 13:46:34.837454 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/WorkloadPerformanceAdvisor
2026-06-25 13:46:34.885777 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/WorkloadPerformanceAdvisor
2026-06-25 13:46:34.886309 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/SecureEraseReportService
2026-06-25 13:46:34.900408 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/SecureEraseReportService
2026-06-25 13:46:34.900979 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/PCIDevices
2026-06-25 13:46:34.933116 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/PCIDevices
2026-06-25 13:46:34.933681 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Processors
2026-06-25 13:46:34.947484 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Processors
2026-06-25 13:46:34.947989 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/SecureBoot
2026-06-25 13:46:35.212884 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/SecureBoot
2026-06-25 13:46:35.213365 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1/Storage
2026-06-25 13:46:35.227437 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1/Storage
2026-06-25 13:46:35.228550 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis/Drives
2026-06-25 13:46:35.240623 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis/Drives
2026-06-25 13:46:35.241249 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters/DC082000
2026-06-25 13:46:35.310751 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters/DC082000
2026-06-25 13:46:35.311683 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus/1
2026-06-25 13:46:35.325257 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus/1
2026-06-25 13:46:35.325770 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus/1
2026-06-25 13:46:35.336919 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus/1
2026-06-25 13:46:35.337790 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/1
2026-06-25 13:46:35.352133 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices/1
2026-06-25 13:46:35.352962 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/2
2026-06-25 13:46:35.365226 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices/2
2026-06-25 13:46:35.366205 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/3
2026-06-25 13:46:35.378775 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices/3
2026-06-25 13:46:35.379670 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices/4
