2026-06-25 13:46:32.808955 - INFO - Сервер 172.24.6.11 - Создание клиента Redfish для https://172.24.6.11 (использование SSO)
2026-06-25 13:46:33.255477 - INFO - Сервер 172.24.6.11 - Клиент успешно создан
2026-06-25 13:46:33.255892 - INFO - Сервер 172.24.6.11 - Проверка валидности SSO токена в iLO...
2026-06-25 13:46:33.348120 - INFO - Сервер 172.24.6.11 - SSO токен успешно валидирован iLO
2026-06-25 13:46:33.349768 - INFO - Сервер 172.24.6.11 - Начало сбора ресурсов
2026-06-25 13:46:33.350381 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:46:33.389033 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1
2026-06-25 13:46:33.390775 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:46:33.412327 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:46:33.412839 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:46:33.428293 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:46:33.429031 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:46:33.453763 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:46:33.454405 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:33.487246 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:46:33.489114 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:33.517207 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:46:33.517886 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:46:33.563393 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:46:33.564515 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:46:33.682257 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:46:33.684725 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:33.715391 - INFO - Сервер 172.24.6.11 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:46:33.715912 - INFO - Сервер 172.24.6.11 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
