2026-06-25 13:47:26.878452 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:47:27.197756 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:47:27.198185 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:47:27.214998 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:47:27.216117 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:47:27.216573 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:47:27.243034 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:47:27.245311 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:47:27.259976 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:47:27.260609 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:47:27.271639 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:47:27.272259 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:47:27.282959 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:47:27.283607 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:47:27.299837 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:47:27.300516 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:47:27.311692 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:47:27.312131 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:47:27.346040 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:47:27.346790 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1
2026-06-25 13:47:27.396993 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems/1
2026-06-25 13:47:27.397810 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:47:27.408475 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/EnclosureChassis
2026-06-25 13:47:27.409260 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:47:27.419122 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/NetworkAdapters
2026-06-25 13:47:27.419629 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:47:27.428587 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/BaseFrus
2026-06-25 13:47:27.429026 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:47:27.438708 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/MezzFrus
2026-06-25 13:47:27.439154 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:47:27.449009 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Devices
2026-06-25 13:47:27.449627 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:47:27.461105 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/PCIeDevices
2026-06-25 13:47:27.461836 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:47:27.476602 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/PCIeSlots
2026-06-25 13:47:27.477118 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:47:27.502124 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Power
2026-06-25 13:47:27.502733 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:47:27.616623 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1/Thermal
2026-06-25 13:47:27.618193 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis/Drives
2026-06-25 13:47:27.633752 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis/Drives
