2026-06-25 13:50:58.147136 - INFO - Сервер 172.24.6.21 - Создание клиента Redfish для https://172.24.6.21 (использование SSO)
2026-06-25 13:50:58.548611 - INFO - Сервер 172.24.6.21 - Клиент успешно создан
2026-06-25 13:50:58.548841 - INFO - Сервер 172.24.6.21 - Проверка валидности SSO токена в iLO...
2026-06-25 13:50:58.565941 - INFO - Сервер 172.24.6.21 - SSO токен успешно валидирован iLO
2026-06-25 13:50:58.566864 - INFO - Сервер 172.24.6.21 - Начало сбора ресурсов
2026-06-25 13:50:58.567104 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1
2026-06-25 13:50:58.606466 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1
2026-06-25 13:50:58.607121 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis
2026-06-25 13:50:58.664191 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis
2026-06-25 13:50:58.664431 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers
2026-06-25 13:50:58.683016 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers
2026-06-25 13:50:58.683244 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems
2026-06-25 13:50:58.697307 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Systems
2026-06-25 13:50:58.697614 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:58.715591 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/1
2026-06-25 13:50:58.716059 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:58.730567 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Chassis/enclosurechassis
2026-06-25 13:50:58.730859 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Managers/1
2026-06-25 13:50:58.765934 - INFO - Сервер 172.24.6.21 - Успешный запрос к /redfish/v1/Managers/1
2026-06-25 13:50:58.766423 - INFO - Сервер 172.24.6.21 - Выполняется GET-запрос к /redfish/v1/Systems/1
